City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Saint Lawrence,36.0553,14.204,66.99,77,0,4.61,MT,1619818579
Naryan-Mar,67.6713,53.087,28.53,81,90,7.18,RU,1619818223
El Alto,-4.2714,-81.2147,78.8,65,40,16.11,PE,1619818317
Rawson,-43.3002,-65.1023,66.43,31,100,2.08,AR,1619818206
Barrow,71.2906,-156.7887,21.2,79,90,4.61,US,1619818161
Kilindoni,-7.9139,39.6668,80.22,83,68,11.45,TZ,1619818581
Birobidzhan,48.8,132.95,41.4,62,30,3.98,RU,1619818508
Mar del Plata,-38.0023,-57.5575,68.0,68,0,5.75,AR,1619818154
Dunmore East,52.1514,-6.9861,39.0,94,83,3.0,IE,1619818582
Ayan,56.45,138.1667,30.42,96,100,15.17,RU,1619818583
Port-Gentil,-0.7193,8.7815,82.4,89,40,5.75,GA,1619818170
Pisco,-13.7,-76.2167,71.6,73,0,16.11,PE,1619817893
Belozërskoye,55.8214,65.5842,35.8,59,7,7.76,RU,1619818584
Kavaratti,10.5669,72.642,84.11,74,12,6.8,IN,1619818151
Chui,-33.6971,-53.4616,61.25,69,26,5.73,UY,1619818135
Brae,60.3964,-1.353,39.2,81,40,4.61,GB,1619818350
Iskateley,67.6803,53.1512,28.65,80,92,7.27,RU,1619818585
Tomigusuku,26.185,127.675,73.4,88,75,16.11,JP,1619818586
Raton,36.9034,-104.4391,75.99,14,1,5.75,US,1619818586
Khatanga,71.9667,102.5,30.33,93,100,8.37,RU,1619817903
Bengkulu,-3.8004,102.2655,74.46,91,92,3.94,ID,1619817945
Härnösand,62.6323,17.9379,37.99,74,21,5.75,SE,1619818587
Hoquiam,46.9809,-123.8893,57.99,94,90,10.36,US,1619818588
Aykhal,66.0,111.5,29.66,97,100,5.88,RU,1619818465
Xingcheng,40.6167,120.7167,46.78,60,46,4.36,CN,1619818589
Rūdbār,30.15,62.6,78.49,40,91,18.05,AF,1619818590
Qasigiannguit,68.8193,-51.1922,39.2,52,1,2.3,GL,1619818366
San Patricio,28.017,-97.5169,73.4,94,90,21.85,US,1619818201
Mvuma,-19.2792,30.5283,58.3,87,60,5.19,ZW,1619818591
Porosozero,62.7191,32.727,28.35,92,51,4.05,RU,1619818591
Pemberton,50.3164,-122.8027,53.6,71,40,5.75,CA,1619818592
Bluff,-46.6,168.3333,43.0,93,99,4.0,NZ,1619818130
Torbay,47.6666,-52.7314,42.01,81,75,9.22,CA,1619818219
Hualmay,-11.0964,-77.6139,69.51,79,19,8.77,PE,1619818227
Corner Brook,48.9667,-57.9484,51.8,62,90,5.75,CA,1619818555
Alofi,-19.0595,-169.9187,84.2,74,97,4.61,NU,1619818093
Mandalgovi,45.7625,106.2708,36.82,49,100,7.02,MN,1619818594
Abu Ghosh,31.8059,35.1093,73.0,56,0,3.44,IL,1619818594
Marsh Harbour,26.5412,-77.0636,78.96,66,39,8.68,BS,1619818466
Ust-Kuyga,70.0167,135.6,31.78,87,93,4.79,RU,1619818492
Berat,40.7058,19.9522,67.35,62,76,6.64,AL,1619818595
Kaeo,-35.1,173.7833,62.01,86,27,5.01,NZ,1619818596
Arman',59.7,150.1667,33.69,76,100,1.5,RU,1619818596
Rafaela,-31.2503,-61.4867,66.0,55,0,1.99,AR,1619818597
Starokorsunskaya,45.0573,39.3161,57.2,88,0,6.71,RU,1619818597
Kirakira,-10.4544,161.9205,79.88,86,100,6.89,SB,1619818422
Chokurdakh,70.6333,147.9167,9.1,93,33,4.47,RU,1619817879
Eresós,39.1667,25.9333,66.2,63,0,3.44,GR,1619818599
Pacific Grove,36.6177,-121.9166,60.8,63,40,10.36,US,1619818157
Puerto Escondido,15.85,-97.0667,84.2,65,90,5.75,MX,1619818318
Qaanaaq,77.484,-69.3632,32.79,68,95,5.64,GL,1619818136
Constantine,36.365,6.6147,71.6,46,75,27.63,DZ,1619818600
Kyakhta,50.3508,106.4494,38.39,52,100,4.41,RU,1619818600
Rechka Vydrino,51.485,104.8461,32.59,89,100,0.98,RU,1619818601
Gōtsuchō,35.0,132.2167,51.55,85,100,1.01,JP,1619818601
Pevek,69.7008,170.3133,16.72,89,100,12.37,RU,1619817906
Vostok,46.4856,135.8833,41.38,62,0,2.15,RU,1619818602
Lorengau,-2.0226,147.2712,82.09,73,92,1.95,PG,1619818392
Bambous Virieux,-20.3428,57.7575,78.01,83,40,11.5,MU,1619818182
Grand Haven,43.0631,-86.2284,51.8,25,1,19.57,US,1619818603
Ouésso,1.6136,16.0517,71.33,88,100,0.94,CG,1619818604
Hobyo,5.3505,48.5268,83.82,68,15,10.49,SO,1619818604
Tiksi,71.6872,128.8694,30.43,83,100,3.24,RU,1619817937
Mishan,45.55,131.8833,47.35,64,82,8.03,CN,1619818605
Queenstown,-31.8976,26.8753,42.13,87,2,0.94,ZA,1619818606
Hobart,-42.8794,147.3294,48.0,87,75,11.5,AU,1619817846
Drumheller,51.4617,-112.7101,80.6,16,19,16.11,CA,1619818549
Obihiro,42.9172,143.2044,41.05,84,92,17.72,JP,1619818607
Ust'-Ilimsk,58.0006,102.6619,33.58,93,93,3.96,RU,1619818607
Fairbanks,64.8378,-147.7164,36.0,60,90,9.22,US,1619818191
Carballo,43.213,-8.691,51.8,76,20,3.44,ES,1619818442
Bandarbeyla,9.4942,50.8122,82.89,75,89,5.97,SO,1619818608
San Andrés,12.5847,-81.7006,86.0,66,20,9.22,CO,1619818102
Zunyi,27.6867,106.9072,64.85,84,100,2.17,CN,1619818610
Paris,48.8534,2.3488,51.01,50,0,10.36,FR,1619818207
Paita,-5.0892,-81.1144,78.8,65,40,16.11,PE,1619818504
Longyearbyen,78.2186,15.6401,14.0,62,75,14.97,SJ,1619818174
Yagodnoye,62.55,149.6667,29.64,90,100,2.3,RU,1619818611
Callaguip,18.0714,120.4867,71.6,94,20,2.3,PH,1619818611
Launceston,-41.45,147.1667,48.0,93,75,5.75,AU,1619818425
Deputatsky,69.3,139.9,21.9,94,94,2.84,RU,1619818212
Plátanos,37.6667,21.6167,64.99,77,0,4.5,GR,1619818612
Mosquera,4.7059,-74.2302,71.6,100,75,6.91,CO,1619818613
Caconda,-13.7333,15.0667,61.79,72,88,2.53,AO,1619818614
Paranavaí,-23.0731,-52.4653,75.2,50,0,9.22,BR,1619818614
Salalah,17.0151,54.0924,82.4,83,40,5.75,OM,1619818168
Nabire,-3.3667,135.4833,76.42,87,56,3.02,ID,1619818615
Oxford,51.7522,-1.256,46.4,66,75,3.44,GB,1619818533
Nanortalik,60.1432,-45.2371,41.02,65,10,7.61,GL,1619818147
Portland,45.5234,-122.6762,69.8,49,75,5.75,US,1619818426
Dicabisagan,17.0818,122.4157,76.08,78,59,3.09,PH,1619818213
Kaitangata,-46.2817,169.8464,43.23,84,61,5.75,NZ,1619817909
Pangai,-19.8,-174.35,77.0,88,75,17.27,TO,1619818617
Karratha,-20.7377,116.8463,79.65,43,4,5.59,AU,1619818218
Wapakoneta,40.5678,-84.1936,57.99,41,1,18.41,US,1619818618
Mabay,6.0577,124.4666,79.0,84,96,5.01,PH,1619818619
Pitimbu,-7.4706,-34.8086,78.8,83,20,5.75,BR,1619818619
Natal,-5.795,-35.2094,78.8,89,40,6.91,BR,1619818620
Felanitx,39.4696,3.1483,64.4,82,20,3.44,ES,1619818620
Sinjār,36.3209,41.8754,69.98,45,1,13.56,IQ,1619818621
Tarabuco,-19.1667,-64.9167,50.34,64,21,5.91,BO,1619818621
Tsimmerbude,54.675,20.1347,39.0,81,0,8.95,RU,1619818622
Warrnambool,-38.3833,142.4833,55.99,72,100,5.01,AU,1619818507
Northam,51.0333,-4.2167,41.0,85,42,6.42,GB,1619818279
Batemans Bay,-35.7167,150.1833,54.0,96,6,1.99,AU,1619818243
Provideniya,64.3833,-173.3,29.32,59,99,0.81,RU,1619818146
Tasiilaq,65.6145,-37.6368,30.2,86,44,5.75,GL,1619817897
Saint-Louis,16.3333,-15.0,91.4,24,0,2.3,SN,1619818366
Boguchany,58.3814,97.4531,30.11,97,32,3.89,RU,1619818624
Port Elizabeth,-33.918,25.5701,59.0,58,40,12.66,ZA,1619818132
Havøysund,70.9963,24.6622,30.2,64,75,14.97,NO,1619818625
Charter Township of Clinton,42.587,-82.9199,55.99,24,20,17.27,US,1619818626
Iranshahr,27.2025,60.6848,73.4,68,0,9.22,IR,1619818626
Thompson,55.7435,-97.8558,42.8,42,90,10.36,CA,1619818152
Yerbogachën,61.2767,108.0108,33.66,88,100,7.7,RU,1619818463
Comodoro Rivadavia,-45.8667,-67.5,66.2,55,0,4.61,AR,1619818423
Berlevåg,70.8578,29.0864,26.6,86,40,3.44,NO,1619818234
Weinan,34.5036,109.5089,59.0,47,0,8.95,CN,1619818124
Sovetskiy,61.3614,63.5842,25.86,92,13,3.62,RU,1619818628
Cartersville,34.1651,-84.7999,75.2,35,1,8.05,US,1619818629
Cherskiy,68.75,161.3,11.34,92,94,1.9,RU,1619817987
Cockburn Town,21.4612,-71.1419,82.4,61,20,11.5,TC,1619817914
Harper,4.375,-7.7169,81.01,76,100,5.26,LR,1619818129
Liseleje,56.0053,11.9483,44.01,100,87,2.17,DK,1619818630
Airai,-8.9266,125.4092,57.42,90,47,3.36,TL,1619818244
Tucumã,-0.1833,-50.05,76.06,90,55,5.55,BR,1619818418
Yangi Marg`ilon,40.4272,71.7189,71.6,40,100,6.91,UZ,1619818259
Solnechnyy,50.7214,136.6319,31.66,82,100,6.85,RU,1619818170
Skellefteå,64.7507,20.9528,32.0,93,90,3.44,SE,1619818352
Pavlodar,52.3,76.95,41.0,56,0,6.71,KZ,1619818632
Lata,40.1629,-8.3327,51.01,78,3,5.01,PT,1619818632
Bulolo,-7.2,146.65,73.24,87,36,0.74,PG,1619818633
Shakiso,5.75,38.9167,56.73,96,54,2.66,ET,1619818634
Dawlatabad,36.4141,64.9053,71.56,53,93,5.57,AF,1619818634
Ivybridge,50.3904,-3.9191,44.01,87,52,5.99,GB,1619818635
Egvekinot,66.3167,-179.1667,20.39,88,100,1.21,RU,1619818238
Xichang,27.8964,102.2634,59.47,65,100,1.19,CN,1619818244
Sorong,-0.8833,131.25,78.3,86,100,5.12,ID,1619818245
Portoferraio,42.8115,10.3146,63.0,93,100,5.01,IT,1619818636
Lodja,-3.4833,23.4333,69.51,99,87,1.41,CD,1619818637
Ciudad Bolivar,8.1222,-63.5497,79.93,63,98,1.92,VE,1619818637
Nadym,65.5333,72.5167,29.97,90,100,14.94,RU,1619818446
Narsaq,60.9167,-46.05,53.6,28,7,27.63,GL,1619818221
Tres Palos,18.1833,-101.6167,87.8,55,1,11.5,MX,1619818638
Roskoshnoye,48.5074,39.3004,53.71,94,83,6.02,UA,1619818639
Muhafazat Lahij,13.1667,44.5833,79.39,71,78,5.75,YE,1619818639
Angoche,-16.2325,39.9086,77.99,82,0,3.71,MZ,1619818573
Moscow,55.7522,37.6156,52.0,87,75,13.42,RU,1619818427
Tiarei,-17.5333,-149.3333,82.4,69,75,3.44,PF,1619818235
Pombia,45.653,8.6336,55.99,100,75,6.91,IT,1619818641
Port Lincoln,-34.7333,135.8667,67.95,41,100,11.7,AU,1619818185
Colac,-38.3333,143.5833,57.99,72,76,3.51,AU,1619818641
Fort Nelson,58.8053,-122.7002,57.2,30,75,11.5,CA,1619818283
Kiryat Gat,31.61,34.7642,73.0,22,0,8.01,IL,1619818230
Tanout,14.9709,8.8879,83.52,6,0,9.33,NE,1619818642
Ucluelet,48.9329,-125.5528,52.0,87,75,8.05,CA,1619817999
Noyabrsk,63.1994,75.4507,30.15,97,100,17.65,RU,1619818643
Beeville,28.4008,-97.7483,70.0,100,90,10.36,US,1619818644
Ancud,-41.8697,-73.8203,55.99,100,90,14.97,CL,1619818277
Kahului,20.8947,-156.47,80.6,78,40,19.57,US,1619818046
Alyangula,-13.8483,136.4192,69.8,100,1,9.01,AU,1619818398
Palmer,42.1584,-72.3287,57.99,51,75,26.46,US,1619817995
Naze,28.3667,129.4833,67.42,79,100,16.42,JP,1619818542
Coleraine,55.1333,-6.6667,37.4,75,0,3.44,GB,1619818646
São Filipe,14.8961,-24.4956,72.66,77,37,11.74,CV,1619817960
Sistranda,63.7256,8.834,37.4,87,75,8.05,NO,1619818597
Faanui,-16.4833,-151.75,79.88,75,100,1.45,PF,1619818164
Nizhniy Odes,63.6445,54.856,33.53,71,89,8.55,RU,1619818647
Helong,42.5397,128.9972,41.43,89,100,3.06,CN,1619818648
Quatre Cocos,-20.2078,57.7625,78.01,83,40,11.5,MU,1619818245
Vardø,70.3705,31.1107,24.8,74,75,9.22,NO,1619818186
San Miguel de Tucumán,-26.8241,-65.2226,77.0,53,20,3.44,AR,1619818649
Yaypan,40.3758,70.8156,70.03,48,63,13.65,UZ,1619818649
Benguela,-12.5763,13.4055,78.37,84,62,2.08,AO,1619818457
Caxito,-8.5785,13.6643,78.8,94,20,4.61,AO,1619818650
Piopio,-38.4667,175.0167,57.0,99,28,3.38,NZ,1619818650
Grindavik,63.8424,-22.4338,35.6,75,20,19.57,IS,1619818169
Namatanai,-3.6667,152.4333,80.06,77,38,3.27,PG,1619818179
Bubaque,11.2833,-15.8333,78.84,72,36,18.16,GW,1619818651
Derzhavīnsk,51.1,66.3167,45.63,62,24,7.0,KZ,1619818652
Constitución,-35.3333,-72.4167,58.03,84,100,10.63,CL,1619817935
Saskylakh,71.9167,114.0833,30.63,87,100,8.72,RU,1619818123
Cidreira,-30.1811,-50.2056,68.56,72,0,14.65,BR,1619817950
Yumen,40.2833,97.2,61.99,11,95,5.21,CN,1619818254
Paternion,46.7142,13.6361,55.0,76,40,2.3,AT,1619818653
Eyl,7.9803,49.8164,83.21,74,95,7.45,SO,1619818145
Temascalapa,19.8333,-98.9,80.6,29,75,13.8,MX,1619818654
Nanning,22.8167,108.3167,69.8,94,72,2.24,CN,1619818601
Batagay-Alyta,67.8006,130.4114,25.79,90,100,3.33,RU,1619818242
Adrar,20.5022,-10.0711,78.24,42,15,8.14,MR,1619818286
Los Llanos de Aridane,28.6585,-17.9182,66.2,59,90,17.27,ES,1619818426
Nishihara,26.1842,127.7558,73.4,94,75,8.05,JP,1619818656
Makuyuni,-4.7333,38.1,70.03,96,75,3.18,TZ,1619818571
Boden,65.8252,21.6886,28.4,80,96,10.36,SE,1619818656
Strezhevoy,60.7333,77.5889,35.6,93,75,4.47,RU,1619818657
Shatsk,54.0258,41.7119,51.08,90,99,20.62,RU,1619818658
Maceió,-9.6658,-35.7353,78.8,83,40,9.22,BR,1619818263
Tortolì,39.9256,9.6572,60.8,94,40,2.3,IT,1619818658
San Cristobal,7.7669,-72.225,73.4,100,75,4.61,VE,1619818162
Aksu,41.1231,80.2644,66.83,14,0,1.86,CN,1619818401
Soe,-9.8607,124.284,65.62,93,57,5.1,ID,1619818659
Srednekolymsk,67.45,153.6833,21.36,82,10,9.69,RU,1619818215
Suntar,62.1444,117.6319,34.47,97,100,5.57,RU,1619818476
Pinheiro,-2.5214,-45.0825,74.26,97,70,1.63,BR,1619818661
Yining,29.0361,114.5636,65.03,77,1,2.17,CN,1619818177
Meulaboh,4.1363,96.1285,76.48,88,60,3.49,ID,1619818661
Vryburg,-26.9566,24.7284,54.59,64,2,12.62,ZA,1619818662
Vernon,50.2581,-119.2691,71.01,45,51,2.3,CA,1619818377
Cayenne,4.9333,-52.3333,80.6,78,20,10.36,GF,1619818204
Gunjur,13.2019,-16.7339,73.4,73,0,8.05,GM,1619818482
Tingi,-11.3,35.0333,62.96,93,69,3.8,TZ,1619818663
Tres Arroyos,-38.3739,-60.2798,60.64,64,0,12.64,AR,1619818664
Baruun-Urt,46.6806,113.2792,31.01,86,26,10.25,MN,1619818664
Shepsi,44.0361,39.1489,55.27,87,73,6.53,RU,1619818665
Dunedin,-45.8742,170.5036,45.63,79,68,5.17,NZ,1619818093
Leshukonskoye,64.8989,45.7622,33.37,78,100,4.43,RU,1619818665
Santander,43.4647,-3.8044,54.0,76,75,6.91,ES,1619818666
Kailua,21.4022,-157.7394,82.4,69,90,12.66,US,1619818666
Gander,48.9682,-54.5906,50.0,62,75,20.71,CA,1619818667
Rosetta,31.4044,30.4164,73.4,35,0,5.75,EG,1619818393
Oranjemund,-28.55,16.4333,55.98,88,0,13.11,NA,1619818278
Crown Point,41.417,-87.3653,51.01,50,1,6.91,US,1619818668
Kemijärvi,66.7131,27.4306,17.11,89,82,5.95,FI,1619818669
Salinópolis,-0.6136,-47.3561,76.39,87,100,4.34,BR,1619818670
São João da Barra,-21.6403,-41.0511,73.4,68,0,6.91,BR,1619817997
Phan Thiet,10.9333,108.1,77.77,86,88,6.53,VN,1619818670
Ankazobe,-18.3167,47.1167,60.8,94,20,3.44,MG,1619818671
San Jose,37.3394,-121.895,75.99,56,90,11.5,US,1619818600
San Miguel de Cozumel,20.5083,-86.9458,89.6,45,40,10.36,MX,1619818672
Clyde River,70.4692,-68.5914,24.8,100,90,5.75,CA,1619818128
Olafsvik,64.8945,-23.7142,35.04,63,65,28.32,IS,1619818147
Novikovo,51.1537,37.8879,54.81,85,92,10.2,RU,1619818429
Fenoarivo,-18.933,47.4354,60.8,94,20,3.44,MG,1619818673
Tilichiki,60.4667,166.1,25.83,86,39,9.4,RU,1619818499
Morón,-34.6534,-58.6198,71.6,49,0,6.91,AR,1619818671
Havelock,34.8791,-76.9013,81.0,31,65,13.0,US,1619818339
Hohhot,40.8106,111.6522,33.8,69,0,4.47,CN,1619818675
Yuci,37.6803,112.7319,42.8,56,0,2.24,CN,1619818675
Urozhaynoye,44.7883,44.9228,51.17,91,25,6.78,RU,1619818676
Rapid Valley,44.0625,-103.1463,84.99,23,1,4.61,US,1619818185
Zhangaözen,43.3,52.8,62.96,41,53,13.35,KZ,1619818445
Cascais,38.6979,-9.4215,57.0,62,20,11.5,PT,1619818677
